Stopping Power Tables for Muons

SILICON                                                                 

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

10.0E+00 6.383
14.0E+00 4.987
30.0E+00 3.047
40.0E+00 2.608
80.0E+00 1.965
100E+00 1.849
140E+00 1.737
200E+00 1.678
273E+00 1.664
300E+00 1.666
400E+00 1.681
800E+00 1.768
1.00E+03 1.804
1.40E+03 1.862
2.00E+03 1.924
3.00E+03 1.995
4.00E+03 2.045
8.00E+03 2.162
10.0E+03 2.199
14.0E+03 2.257
20.0E+03 2.322
30.0E+03 2.405
40.0E+03 2.475
80.0E+03 2.708
100E+03 2.815
140E+03 3.022
200E+03 3.329
300E+03 3.833
400E+03 4.341
800E+03 6.384
1.00E+06 7.420
1.40E+06 9.486
2.00E+06 12.631
3.00E+06 17.866
4.00E+06 23.161
8.00E+06 44.511
10.0E+06 55.276
14.0E+06 76.797
20.0E+06 109.306
30.0E+06 163.579
40.0E+06 218.141
80.0E+06 437.630
100E+06 547.917
