start_time,sat,supra_MeV_flux
2020-10-22T23:04:22.315,A,849.9653717773128
2021-12-06T03:08:24.879,A,849.9033063245729
2020-09-25T04:17:42.069,A,849.8866103372857
2022-01-21T17:32:27.010,A,849.871601902049
2021-11-27T22:20:20.829,A,849.8216510785812
2020-11-26T10:23:55.989,A,849.7661871524781
2021-08-31T13:11:31.611,A,849.6871823683257
2021-11-12T21:06:40.087,A,849.677239210099
2021-04-22T05:01:20.261,A,849.6748945249507
2020-02-19T21:47:20.721,B,849.6738940429686
2021-04-30T06:35:52.771,A,849.6414922691479
2020-10-05T02:41:29.589,A,849.5818311065761
2020-12-19T13:24:40.779,B,849.5180285907761
2020-10-29T09:18:50.476,A,849.512397070459
2020-07-14T09:11:31.644,B,849.4086316128372
2022-09-09T07:23:14.405,A,849.3082005777284
2022-02-10T03:52:02.119,A,849.2950846461833
2021-11-13T23:28:17.616,A,849.2247193705681
2021-10-13T02:57:52.887,A,849.204857020648
2022-03-07T14:48:51.183,A,849.195571239446
2022-08-10T04:47:06.997,B,849.1675100938628
2021-11-13T05:35:59.942,B,849.1064192770734
2021-03-11T05:50:41.810,A,849.0798640840101
2020-10-04T09:03:14.838,B,849.0456197378633
2020-11-28T12:13:44.414,A,849.0244009974339
2020-10-03T05:30:22.777,A,849.0131030018315
2020-09-29T02:14:40.921,B,849.0096900798238
2020-11-25T18:48:17.171,A,848.9627577242196
2021-11-22T21:25:04.254,A,848.9559254006344
2020-11-25T14:06:30.829,A,848.9423889750548
2021-03-05T02:06:33.520,B,848.8719877107135
2021-11-21T19:06:48.544,A,848.8149410417843
2021-08-10T05:37:00.954,A,848.8081634976078
2021-06-21T23:48:32.595,A,848.7677933658422
2022-08-15T21:28:32.020,A,848.7151574447735
2021-11-15T21:59:14.436,B,848.6709802957089
2021-11-10T01:35:48.284,B,848.5786746857553
2020-10-26T01:54:21.494,A,848.5743272276021
2022-06-05T01:18:46.719,A,848.4834265179903
2021-11-09T21:49:33.568,A,848.4712481970784
2021-06-21T04:45:58.106,B,848.4648870534361
2021-08-28T05:54:09.229,A,848.4196667831272
2022-05-05T05:28:35.602,A,848.4046219289527
2021-05-24T15:00:35.452,A,848.3626577444762
2021-05-11T07:36:53.034,B,848.3200547996314
2021-05-11T05:07:02.762,A,848.2370780319483
2020-10-11T22:14:13.060,A,848.2326426049477
2021-04-18T03:02:39.488,A,848.2136945384045
2022-05-23T03:37:02.497,A,848.2018814535274
2021-05-12T06:56:17.613,B,848.1849252447859
2021-04-30T08:07:59.968,A,848.1148106022409
2021-04-24T06:34:10.642,B,848.0668584848821
2021-11-30T23:11:29.027,A,847.9892280915665
2021-06-02T21:19:50.304,A,847.9838779827173
2020-07-17T16:48:24.679,A,847.9563556446344
2022-01-17T22:08:11.475,B,847.9192922415756
2020-11-25T14:07:09.235,A,847.9157920215905
2021-11-29T22:24:00.908,A,847.9007525867121
2021-11-08T02:19:56.802,A,847.893781478695
2021-11-09T20:10:47.087,B,847.7479306090996
2021-04-22T05:00:48.780,A,847.7473702474281
2021-09-23T11:33:17.606,A,847.7451853005923
2021-09-24T06:55:56.258,A,847.6827145249744
2022-01-17T22:08:02.912,B,847.623142969861
