start_time,sat,supra_MeV_flux
2022-01-26T06:29:20.174,A,2.038893423289406e8
2021-12-16T05:39:43.208,A,1.2551602719093515e8
2021-12-06T00:55:23.051,A,6.87637583796668e7
2021-08-09T21:08:20.374,A,4.4280613255452245e7
2021-12-15T23:17:44.135,A,4.3603312318832524e7
2021-05-02T13:33:44.284,A,3.522820231323194e7
2021-05-05T14:43:35.622,A,3.4838174730758205e7
2021-12-06T00:52:48.167,A,2.74628149043268e7
2022-03-09T12:54:27.192,A,1.769549870001982e7
2021-06-30T01:32:56.788,A,1.5017339115268653e7
2021-06-30T01:30:32.067,A,1.4428602714301264e7
2021-06-30T01:30:32.169,A,1.4428359811808104e7
2021-06-30T01:32:38.950,A,1.4398894627765095e7
2021-05-13T09:13:10.133,A,1.3116388977381444e7
2021-07-07T05:58:41.197,A,1.2440717148408597e7
2022-02-24T11:14:13.180,A,1.2362131002492312e7
2021-12-29T12:40:58.328,A,1.2192407504309181e7
2021-12-15T23:14:14.147,A,1.1191135122977784e7
2022-04-03T16:32:04.508,A,1.0874505035734694e7
2021-06-30T01:33:10.207,A,9.926764753935643e6
2022-01-13T12:11:02.597,A,9.500528987677734e6
2021-11-18T22:07:05.468,A,9.350912141387915e6
2021-06-30T01:33:01.657,A,8.601767928237572e6
2022-04-29T01:03:23.090,A,8.225126517790357e6
2021-07-12T07:15:59.491,A,8.134147265364149e6
2022-02-12T22:46:51.066,A,7.958010634361206e6
2021-12-29T12:40:54.956,A,7.939024685506852e6
2022-05-07T10:32:50.685,A,7.8873582063146485e6
2021-08-11T02:36:46.638,A,7.449215649441119e6
2021-07-07T06:05:10.880,A,7.316714571692763e6
2022-02-09T18:34:44.160,A,7.225669531570167e6
2022-02-09T18:34:48.057,A,7.225669531570167e6
2021-05-26T20:36:00.113,A,7.127337640012464e6
2020-10-27T22:41:41.427,B,7.043484548431403e6
2021-07-07T06:03:56.700,A,6.1348904197744625e6
2022-04-29T01:03:40.450,A,5.681804703271142e6
2021-10-23T02:36:07.956,A,5.656291246671313e6
2021-12-06T00:55:13.143,A,5.546209535845147e6
2021-06-30T01:32:19.641,A,5.3252831028146595e6
2022-01-25T22:59:59.798,A,5.087741274011939e6
2021-05-26T20:30:37.851,A,4.910634220505585e6
2021-10-26T14:20:47.321,A,4.661558799369654e6
2022-02-24T11:14:35.139,A,4.4923999623374995e6
2021-10-03T01:14:14.553,A,4.4771504152214145e6
2022-04-20T15:37:38.986,A,4.3796690288091665e6
2021-10-23T02:33:29.416,A,4.326503820552539e6
2022-04-07T13:02:13.455,A,4.294682741267304e6
2022-02-03T10:57:18.175,A,4.257587646646622e6
2021-08-28T23:47:05.448,A,4.1894706933234376e6
2021-10-14T08:35:09.079,A,4.0086947402969236e6
2021-08-24T04:51:35.085,A,3.980667502202618e6
2021-04-02T13:51:10.110,A,3.964282321761457e6
2022-01-31T05:28:17.998,A,3.842932609971467e6
2021-06-26T15:09:55.392,A,3.83671491145199e6
2021-10-26T14:20:38.790,A,3.755139947486499e6
2021-06-12T22:53:43.153,A,3.711144801243164e6
2021-12-28T07:14:43.037,A,3.6899580591942263e6
2021-08-28T23:46:28.533,A,3.492971169731818e6
2022-04-03T16:32:13.412,A,3.394123892382113e6
2021-06-30T01:32:26.966,A,3.2907464326010086e6
2021-12-06T00:48:32.910,A,3.289343106452074e6
2021-06-30T01:31:39.450,A,3.253194109330426e6
2021-06-12T22:51:39.162,A,3.1795270250945524e6
2021-10-05T01:22:09.120,A,3.087526720197656e6
2020-10-23T20:54:55.336,A,3.082728981146512e6
2021-10-14T08:35:05.712,A,3.0065252552457643e6
2022-04-06T14:07:41.279,A,2.899793243155303e6
2021-06-26T15:10:54.030,A,2.7535011653505615e6
2022-04-20T15:37:41.625,A,2.718486533010498e6
2021-12-16T05:40:27.539,A,2.696802593875726e6
2021-12-16T19:27:39.269,A,2.6732413044724003e6
2021-10-04T00:33:22.235,A,2.634077519450459e6
2022-04-03T18:02:39.274,A,2.633636706919043e6
2021-05-26T22:08:10.109,A,2.5870954853470135e6
2022-04-03T18:03:57.592,A,2.566846860033472e6
2021-06-26T15:09:31.318,A,2.5097915964862974e6
2022-04-07T13:03:57.221,A,2.4262651546473815e6
2021-10-26T14:20:31.959,A,2.405179706974155e6
2022-01-13T12:11:06.259,A,2.3751322469194336e6
2021-10-23T02:36:13.572,A,2.250239207222461e6
2022-03-09T12:58:30.833,A,2.247287485879674e6
2022-07-16T01:43:25.039,A,2.244412930854473e6
2022-09-08T07:23:02.388,A,2.218625445592681e6
2022-07-16T01:43:26.508,A,2.2005485967258485e6
2021-10-04T00:33:26.411,A,2.176383901171216e6
2022-03-30T15:35:10.208,A,2.117868045975795e6
2021-06-30T01:32:13.291,A,2.095951217914912e6
2021-04-16T02:52:05.352,A,2.095128345177836e6
2021-08-28T23:47:01.328,A,2.0947353466617188e6
2021-06-30T01:31:47.175,A,2.0352033646445707e6
2021-10-26T14:20:18.378,A,2.007848651477362e6
2022-04-27T01:34:59.956,A,1.9911586217144714e6
2021-05-11T05:11:14.592,A,1.9842682508133547e6
2021-06-28T07:31:17.282,A,1.9835444173719077e6
2022-03-09T12:57:26.770,A,1.9826344971383228e6
2022-07-16T01:43:29.453,A,1.9538267986216818e6
2021-05-26T20:32:45.304,A,1.9392785104354979e6
2022-07-16T01:43:27.977,A,1.8719121735174076e6
2021-04-08T22:14:44.660,A,1.8187113706783995e6
2021-12-22T05:52:28.841,A,1.81185218386344e6
2021-04-16T02:51:50.851,A,1.7471511243971558e6
2021-04-14T04:12:23.412,A,1.7337763494470306e6
2022-04-07T13:07:46.189,A,1.6797599160964296e6
